relative_position,layer,accuracy,f1
0.0,0,0.5,0.0
0.0,1,0.5,0.0
0.0,2,0.5,0.0
0.0,3,0.5,0.0
0.0,4,0.5,0.0
0.0,5,0.5,0.0
0.0,6,0.5,0.0
0.0,7,0.5,0.0
0.0,8,0.5,0.0
0.0,9,0.5,0.0
0.0,10,0.5,0.0
0.0,11,0.5,0.0
0.0,12,0.5,0.0
0.0,13,0.5,0.0
0.0,14,0.5,0.0
0.0,15,0.5,0.0
0.0,16,0.5,0.0
0.0,17,0.5,0.0
0.0,18,0.5,0.0
0.0,19,0.5,0.0
0.0,20,0.5,0.0
0.0,21,0.5,0.0
0.0,22,0.5,0.0
0.0,23,0.5,0.0
0.0,24,0.5,0.0
0.25,0,0.425,0.30303030303030304
0.25,1,0.425,0.30303030303030304
0.25,2,0.425,0.30303030303030304
0.25,3,0.425,0.30303030303030304
0.25,4,0.425,0.30303030303030304
0.25,5,0.425,0.30303030303030304
0.25,6,0.425,0.30303030303030304
0.25,7,0.425,0.30303030303030304
0.25,8,0.425,0.30303030303030304
0.25,9,0.425,0.30303030303030304
0.25,10,0.425,0.30303030303030304
0.25,11,0.425,0.30303030303030304
0.25,12,0.425,0.30303030303030304
0.25,13,0.425,0.30303030303030304
0.25,14,0.425,0.30303030303030304
0.25,15,0.425,0.30303030303030304
0.25,16,0.425,0.30303030303030304
0.25,17,0.425,0.30303030303030304
0.25,18,0.425,0.30303030303030304
0.25,19,0.425,0.30303030303030304
0.25,20,0.425,0.30303030303030304
0.25,21,0.425,0.30303030303030304
0.25,22,0.425,0.30303030303030304
0.25,23,0.425,0.30303030303030304
0.25,24,0.425,0.30303030303030304
0.5,0,0.525,0.5365853658536586
0.5,1,0.525,0.5128205128205128
0.5,2,0.525,0.5365853658536586
0.5,3,0.525,0.5365853658536586
0.5,4,0.525,0.5128205128205128
0.5,5,0.525,0.5128205128205128
0.5,6,0.525,0.5128205128205128
0.5,7,0.525,0.5365853658536586
0.5,8,0.525,0.5365853658536586
0.5,9,0.525,0.5128205128205128
0.5,10,0.525,0.5128205128205128
0.5,11,0.525,0.5128205128205128
0.5,12,0.525,0.5128205128205128
0.5,13,0.525,0.5128205128205128
0.5,14,0.525,0.5128205128205128
0.5,15,0.525,0.5128205128205128
0.5,16,0.525,0.5128205128205128
0.5,17,0.525,0.5128205128205128
0.5,18,0.525,0.5365853658536586
0.5,19,0.525,0.5365853658536586
0.5,20,0.525,0.5365853658536586
0.5,21,0.525,0.5128205128205128
0.5,22,0.525,0.5128205128205128
0.5,23,0.525,0.5128205128205128
0.5,24,0.525,0.5128205128205128
0.75,0,0.525,0.45714285714285713
0.75,1,0.6,0.5555555555555556
0.75,2,0.625,0.5945945945945946
0.75,3,0.65,0.5882352941176471
0.75,4,0.675,0.6666666666666666
0.75,5,0.65,0.6111111111111112
0.75,6,0.6,0.5555555555555556
0.75,7,0.675,0.6486486486486487
0.75,8,0.675,0.6285714285714286
0.75,9,0.7,0.625
0.75,10,0.7,0.6470588235294118
0.75,11,0.725,0.6857142857142857
0.75,12,0.7,0.6470588235294118
0.75,13,0.775,0.7428571428571429
0.75,14,0.775,0.7428571428571429
0.75,15,0.775,0.7567567567567568
0.75,16,0.75,0.7368421052631579
0.75,17,0.675,0.6486486486486487
0.75,18,0.775,0.7428571428571429
0.75,19,0.8,0.7647058823529411
0.75,20,0.75,0.7222222222222222
0.75,21,0.7,0.6470588235294118
0.75,22,0.725,0.6857142857142857
0.75,23,0.725,0.6857142857142857
0.75,24,0.725,0.7027027027027027
1.0,0,0.5,0.0
1.0,1,0.725,0.717948717948718
1.0,2,0.85,0.85
1.0,3,0.8,0.8
1.0,4,0.825,0.8292682926829268
1.0,5,0.875,0.8717948717948718
1.0,6,0.825,0.8205128205128205
1.0,7,0.7,0.6842105263157895
1.0,8,0.8,0.8
1.0,9,0.8,0.8095238095238095
1.0,10,0.9,0.9090909090909091
1.0,11,0.85,0.8636363636363636
1.0,12,0.9,0.9090909090909091
1.0,13,0.9,0.9090909090909091
1.0,14,0.825,0.8372093023255814
1.0,15,0.9,0.9047619047619048
1.0,16,0.9,0.9047619047619048
1.0,17,0.9,0.9047619047619048
1.0,18,0.9,0.9047619047619048
1.0,19,0.925,0.926829268292683
1.0,20,0.9,0.9047619047619048
1.0,21,0.925,0.9302325581395349
1.0,22,0.925,0.9302325581395349
1.0,23,0.925,0.9302325581395349
1.0,24,0.9,0.9047619047619048
0.8,0,0.65,0.65
0.8,1,0.7,0.7142857142857143
0.8,2,0.65,0.6111111111111112
0.8,3,0.575,0.5853658536585366
0.8,4,0.7,0.7142857142857143
0.8,5,0.6,0.6
0.8,6,0.7,0.7
0.8,7,0.65,0.65
0.8,8,0.725,0.7317073170731707
0.8,9,0.775,0.7906976744186046
0.8,10,0.675,0.7111111111111111
0.8,11,0.725,0.7555555555555555
0.8,12,0.725,0.7441860465116279
0.8,13,0.75,0.7727272727272727
0.8,14,0.75,0.7727272727272727
0.8,15,0.775,0.7804878048780488
0.8,16,0.8,0.8095238095238095
0.8,17,0.75,0.7619047619047619
0.8,18,0.75,0.7727272727272727
